"","Team","Opponent","game_id","game_date","season","is_home","TOI","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff","PEND2","PENT2","PEND5","PENT5"
"135","ANA","DAL",2009020606,14609,20092010,0,60,3,5,-2,0,0,0,34,42,-8,44,65,-21,56,71,-15,2,4,0,0
"136","ANA","NSH",2009020619,14611,20092010,0,60,1,3,-2,0,0,0,26,36,-10,33,49,-16,43,64,-21,2,2,0,0
"137","ANA","CHI",2009020626,14612,20092010,0,60,2,5,-3,0,0,0,24,28,-4,31,50,-19,43,63,-20,3,4,0,0
"138","ANA","DET",2009020638,14614,20092010,1,60,4,1,3,0,0,0,35,39,-4,47,52,-5,57,57,0,8,8,0,0
"139","ANA","STL",2009020653,14616,20092010,1,60,4,2,2,0,0,0,29,22,7,46,28,18,61,35,26,5,3,0,0
"140","ANA","NSH",2009020667,14618,20092010,0,60,3,2,1,0,0,0,21,27,-6,32,37,-5,44,55,-11,1,1,0,0
"141","ANA","CHI",2009020675,14619,20092010,0,60,3,1,2,0,0,0,12,43,-31,14,57,-43,25,73,-48,3,4,0,0
"142","ANA","BOS",2009020692,14622,20092010,1,60,4,3,1,0,0,0,32,30,2,41,44,-3,48,53,-5,7,5,0,0
"143","ANA","L.A",2009020703,14623,20092010,0,60,0,4,-4,0,0,0,22,27,-5,42,32,10,58,42,16,8,8,0,0
"144","ANA","CGY",2009020722,14626,20092010,1,60,5,4,1,0,0,0,26,37,-11,41,49,-8,55,61,-6,4,4,0,0
"145","ANA","BUF",2009020739,14628,20092010,1,60,5,4,1,0,0,0,30,45,-15,38,52,-14,42,61,-19,4,5,0,0
"146","ANA","S.J",2009020756,14630,20092010,0,60,1,3,-2,0,0,0,27,25,2,37,43,-6,52,62,-10,5,5,0,0
"147","ANA","STL",2009020768,14632,20092010,0,65,3,3,0,0,0,0,37,21,16,56,33,23,73,46,27,3,1,0,0
"148","ANA","ATL",2009020780,14635,20092010,0,60,1,2,-1,0,0,0,35,34,1,45,44,1,64,51,13,4,4,0,0
"149","ANA","WSH",2009020788,14636,20092010,0,60,1,5,-4,0,0,0,31,49,-18,42,69,-27,59,81,-22,7,10,0,0
"150","ANA","T.B",2009020804,14638,20092010,0,65,1,1,0,0,0,0,32,31,1,47,43,4,69,52,17,5,5,0,0
"151","ANA","FLA",2009020824,14641,20092010,0,60,3,0,3,0,0,0,25,33,-8,37,49,-12,51,63,-12,3,4,0,0
"152","ANA","DET",2009020840,14643,20092010,1,60,3,1,2,0,0,0,30,47,-17,36,64,-28,41,78,-37,3,3,0,0
"153","ANA","L.A",2009020849,14644,20092010,0,60,4,6,-2,0,0,0,22,31,-9,33,45,-12,41,56,-15,1,2,0,0
"154","ANA","L.A",2009020875,14648,20092010,1,60,4,2,2,0,0,0,33,37,-4,47,47,0,59,55,4,5,5,0,0
"155","ANA","EDM",2009020890,14650,20092010,1,60,3,2,1,0,0,0,30,39,-9,44,53,-9,66,63,3,8,4,0,0
"156","ANA","CGY",2009020914,14653,20092010,0,60,1,3,-2,0,0,0,27,38,-11,35,57,-22,47,69,-22,2,2,0,0
"157","ANA","EDM",2009020921,14654,20092010,0,60,7,3,4,0,0,0,46,29,17,58,38,20,78,50,28,12,6,0,0
"158","ANA","COL",2009020940,14671,20092010,1,60,3,4,-1,0,0,0,34,25,9,48,33,15,51,34,17,7,8,0,0
"159","ANA","ARI",2009020961,14674,20092010,0,60,0,4,-4,0,0,0,32,30,2,46,46,0,57,52,5,8,5,0,0
"160","ANA","MTL",2009020973,14675,20092010,1,65,3,3,0,0,0,0,32,43,-11,43,56,-13,52,67,-15,4,5,0,0
"161","ANA","CBJ",2009020984,14677,20092010,1,60,2,5,-3,0,0,0,38,29,9,52,44,8,64,53,11,9,9,0,0
"162","ANA","NSH",2009021005,14680,20092010,1,60,0,1,-1,0,0,0,31,28,3,43,36,7,50,41,9,4,6,0,0
"163","ANA","S.J",2009021023,14682,20092010,1,60,4,2,2,0,0,0,33,33,0,43,51,-8,48,67,-19,7,5,0,0
"164","ANA","CHI",2009021041,14685,20092010,1,60,4,2,2,0,0,0,36,41,-5,45,63,-18,58,76,-18,4,5,0,0
"165","ANA","NYI",2009021056,14687,20092010,1,60.2333333333333,5,4,1,0,0,0,39,31,8,55,39,16,71,44,27,4,5,0,0
"166","ANA","COL",2009021076,14689,20092010,1,60,5,2,3,0,0,0,33,28,5,47,42,5,61,46,15,6,3,0,0
"167","ANA","CGY",2009021088,14691,20092010,0,60,1,3,-2,0,0,0,23,28,-5,39,41,-2,54,58,-4,0,2,0,0
"168","ANA","VAN",2009021095,14692,20092010,0,60,1,4,-3,0,0,0,31,30,1,44,43,1,59,50,9,4,2,0,0
"169","ANA","EDM",2009021109,14694,20092010,0,60,3,2,1,0,0,0,40,36,4,54,50,4,72,63,9,5,8,0,0
"170","ANA","DAL",2009021132,14697,20092010,1,60,3,1,2,0,0,0,46,31,15,55,43,12,66,50,16,5,2,0,0
"171","ANA","COL",2009021147,14699,20092010,0,60,5,2,3,0,0,0,27,29,-2,34,45,-11,41,61,-20,1,3,0,0
"172","ANA","VAN",2009021163,14701,20092010,1,65,4,4,0,0,0,0,34,40,-6,52,51,1,65,61,4,7,5,0,0
"173","ANA","L.A",2009021174,14702,20092010,0,65,1,1,0,0,0,0,33,29,4,55,49,6,72,54,18,3,5,0,0
"174","ANA","L.A",2009021192,14705,20092010,1,65,4,4,0,0,0,0,21,40,-19,35,48,-13,41,66,-25,3,3,0,0
"175","ANA","DAL",2009021203,14707,20092010,0,65,2,2,0,0,0,0,19,51,-32,36,68,-32,49,90,-41,3,3,0,0
"176","ANA","STL",2009021210,14708,20092010,0,60,3,6,-3,0,0,0,26,48,-22,39,66,-27,45,79,-34,5,7,0,0
"177","ANA","EDM",2009021230,14710,20092010,1,60,7,2,5,0,0,0,45,31,14,56,42,14,66,47,19,4,3,0,0
"178","ANA","DET",2010020009,14890,20102011,0,60,0,4,-4,4.88431488923379,7.94009270339302,-3.05577781415923,21,43,-22,35,54,-19,43,74,-31,3,8,0,0
"179","ANA","NSH",2010020020,14891,20102011,0,60,1,4,-3,6.07015120323922,3.81164818812977,2.25850301510945,37,49,-12,43,63,-20,57,74,-17,4,8,0,0
"180","ANA","STL",2010020029,14893,20102011,0,60,1,5,-4,1.32255647098646,4.38913146152117,-3.06657499053472,14,53,-39,19,67,-48,25,82,-57,10,14,0,0
