Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2019,Alex Goligoski,ARI,D,76,1259.633333,1,14,6,8,15,32.61,82,1.22,187,118,36,6,10,8,12,6,6,0,0,6,50,16,70,101,120,1,0,100
2019,Alex Iafallo,L.A,L,82,1176.9,11,14,8,6,25,58.14,109,10.09,182,153,107,49,4,10,18,8,8,0,0,6,16,25,85,79,52,7,16,30.43
2019,Alex Killorn,T.B,L,82,916.1833333,12,15,11,4,27,60,122,9.84,236,171,143,50,15,16,30,15,15,0,0,8,18,20,84,83,18,1,2,33.33
2019,Alex Ovechkin,WSH,L,81,1229.833333,28,21,14,7,49,65.33,200,14,382,279,195,72,10,18,28,14,14,0,0,12,51,34,204,57,32,1,3,25
2019,Alex Petrovic,"EDM, FLA",D,35,514.5166667,0,2,0,2,2,22.22,44,0,105,67,27,5,3,3,16,8,8,0,0,1,24,8,110,57,42,0,0,-
2019,Alex Pietrangelo,STL,D,71,1278.983333,6,14,5,9,20,32.79,118,5.08,247,159,62,13,1,13,18,9,9,0,0,10,40,36,46,105,105,0,0,-
2019,Alex Tuch,VGK,R,74,1014.35,14,28,11,17,42,75,142,9.86,263,191,148,56,13,24,6,3,3,0,0,9,40,68,86,84,38,19,40,32.2
2019,Alexander Edler,VAN,D,56,984.1833333,4,8,4,4,12,34.29,84,4.76,174,121,35,2,1,7,42,21,21,0,0,6,23,7,113,83,117,0,0,-
2019,Alexander Kerfoot,COL,C,78,955.0166667,9,13,9,4,22,68.75,98,9.18,156,122,108,49,3,14,30,15,15,0,0,12,20,22,20,109,28,249,197,55.83
2019,Alexander Nylander,BUF,R,12,133.3,1,2,2,0,3,75,10,10,23,16,10,5,0,1,4,2,2,0,0,2,4,1,1,5,1,2,1,66.67
2019,Alexander Radulov,DAL,R,70,1098.783333,17,22,13,9,39,65,147,11.56,265,193,160,78,10,21,44,22,22,0,0,12,53,39,56,73,72,6,9,40
2019,Alexander Steen,STL,L,65,786.0833333,7,11,5,6,18,60,91,7.69,147,116,86,37,5,7,14,7,7,0,0,14,13,22,46,67,32,9,12,42.86
2019,Alexander Wennberg,CBJ,C,75,861.3833333,0,15,9,6,15,46.88,49,0,80,64,54,26,2,5,4,2,2,0,0,2,23,24,27,47,30,284,291,49.39
2019,Alexandre Fortin,CHI,L,24,239.6666667,2,3,2,1,5,71.43,26,7.69,53,36,38,13,4,2,2,1,1,0,0,3,3,8,21,16,7,11,6,64.71
2019,Alexandre Texier,CBJ,C,2,25.53333333,1,0,0,0,1,33.33,6,16.67,8,8,5,5,0,1,0,0,0,0,0,0,2,0,2,2,1,0,1,0
2019,Anders Bjork,BOS,L,20,216.2333333,1,2,1,1,3,75,15,6.67,33,24,16,7,2,0,2,1,1,0,0,1,9,11,9,17,11,0,0,-
2019,Anders Lee,NYI,L,82,1114.816667,15,16,10,6,31,57.41,133,11.28,232,192,172,97,8,13,36,17,17,0,0,13,24,21,98,94,47,36,37,49.32
2019,Andre Burakovsky,WSH,L,76,816.8,11,13,8,5,24,68.57,98,11.22,175,130,109,34,2,12,12,6,6,0,0,7,28,27,35,99,29,4,10,28.57
