Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2019,Anze Kopitar,L.A,C,81,159.2333333,2,0,0,0,2,100,9,22.22,11,10,8,5,3,2,0,0,0,0,0,1,3,4,5,1,9,109,101,51.9
2019,Kris Letang,PIT,D,65,140.0833333,1,1,1,0,2,40,7,14.29,8,8,1,1,0,0,2,1,1,0,0,1,14,5,13,2,18,0,0,-
2019,Niklas Hjalmarsson,ARI,D,82,260.2833333,0,2,0,2,2,15.38,7,0,7,7,0,0,1,0,6,3,3,0,0,4,9,7,5,7,50,0,0,-
2019,Bryan Little,WPG,C,82,99.11666667,0,2,2,0,2,100,2,0,4,2,3,1,0,0,0,0,0,0,0,1,1,3,2,1,6,39,48,44.83
2019,Michael Frolik,CGY,R,65,36.7,2,0,0,0,2,100,4,50,5,5,5,3,1,0,2,1,1,0,0,1,4,1,0,0,2,1,1,50
2019,Andrew MacDonald,PHI,D,47,89.85,0,2,0,2,2,100,1,0,1,1,1,0,0,0,4,2,2,0,0,1,2,0,2,4,15,0,0,-
2019,Alex Killorn,T.B,L,82,159.5833333,1,1,1,0,2,40,9,11.11,13,10,9,1,0,0,6,3,3,0,0,1,4,7,3,3,4,1,3,25
2019,Mikael Backlund,CGY,C,77,106.7666667,1,1,1,0,2,66.67,10,10,13,12,7,5,0,1,2,1,1,0,0,4,2,7,0,2,2,47,31,60.26
2019,Nick Holden,VGK,D,61,106.4166667,0,2,1,1,2,50,4,0,6,6,1,1,1,0,0,0,0,0,0,1,1,3,2,2,9,0,0,-
2019,Steven Stamkos,T.B,C,82,49.33333333,2,0,0,0,2,100,3,66.67,5,5,3,2,1,0,4,2,2,0,0,3,0,2,0,1,4,75,59,55.97
2019,Tyler Myers,WPG,D,80,177.4166667,1,1,0,1,2,40,4,25,7,6,5,2,1,1,12,2,1,0,1,2,7,1,12,4,17,0,0,-
2019,Matt Calvert,COL,L,82,184.5833333,0,2,2,0,2,100,21,0,23,22,13,7,1,4,7,2,1,1,0,3,3,12,6,4,14,13,12,52
2019,Alex Chiasson,EDM,R,73,44.81666667,1,1,1,0,2,66.67,2,50,3,3,3,2,1,0,2,1,1,0,0,2,2,3,2,0,0,2,2,50
2019,Evander Kane,S.J,L,75,74.83333333,1,1,1,0,2,100,10,10,13,12,10,7,3,0,39,6,2,1,3,4,0,5,6,0,0,8,7,53.33
2019,Magnus Paajarvi,OTT,L,80,157.8666667,1,1,1,0,2,100,10,10,13,12,7,5,1,0,0,0,0,0,0,1,1,2,2,0,12,5,4,55.56
2019,Mattias Ekholm,NSH,D,80,179.2333333,0,2,0,2,2,66.67,4,0,7,6,2,2,0,1,4,2,2,0,0,0,10,1,6,3,19,0,0,-
2019,Kevin Connauton,ARI,D,50,137.8833333,0,2,2,0,2,28.57,4,0,5,5,2,0,1,1,0,0,0,0,0,2,2,0,8,0,16,0,0,-
2019,Riley Sheahan,"FLA, PIT",C,82,165.8166667,1,1,1,0,2,66.67,14,7.14,18,17,12,10,2,1,0,0,0,0,0,2,3,10,7,6,10,67,64,51.15
2019,Ryan Johansen,NSH,C,80,114.5166667,1,1,1,0,2,50,3,33.33,7,6,4,2,1,0,0,0,0,0,0,3,4,10,4,4,1,49,46,51.58
2019,Mikael Granlund,"MIN, NSH","C, R",79,49.05,2,0,0,0,2,100,5,40,10,6,4,0,2,0,0,0,0,0,0,0,0,3,0,1,2,3,8,27.27
2019,Marcus Sorensen,S.J,L,80,84.78333333,1,1,1,0,2,66.67,3,33.33,5,5,2,1,1,0,0,0,0,0,0,4,0,5,6,1,5,0,4,0
2019,Mika Zibanejad,NYR,C,82,163.0666667,2,0,0,0,2,66.67,5,40,8,7,3,1,0,0,0,0,0,0,0,2,10,12,11,3,10,107,114,48.42
2019,Phillip Danault,MTL,C,81,202.2833333,0,2,2,0,2,100,9,0,14,10,10,3,1,2,5,1,0,1,0,3,7,11,0,0,11,161,134,54.58
2019,Yanni Gourde,T.B,C,80,139.8666667,1,1,0,1,2,100,7,14.29,9,9,5,3,0,0,2,1,1,0,0,3,4,10,5,5,4,6,10,37.5
2019,Scott Laughton,PHI,C,82,184.8666667,0,2,2,0,2,100,17,0,23,20,14,10,1,4,12,2,1,0,1,2,3,11,2,2,12,34,38,47.22
2019,Mike Matheson,FLA,D,75,180.9,0,2,1,1,2,100,4,0,5,4,1,0,0,0,8,4,4,0,0,0,12,7,4,3,30,0,0,-
2019,Tom Wilson,WSH,R,63,141.15,2,0,0,0,2,100,9,22.22,12,10,6,4,0,0,0,0,0,0,0,12,4,4,10,0,14,6,5,54.55
2019,Tomas Hertl,S.J,C,77,127.2833333,1,1,1,0,2,100,8,12.5,13,11,8,3,2,1,2,1,1,0,0,4,4,14,3,3,13,60,70,46.15
2019,Filip Forsberg,NSH,L,64,67.91666667,2,0,0,0,2,100,7,28.57,13,11,12,4,4,0,0,0,0,0,0,3,1,16,1,2,6,0,2,0
2019,Radek Faksa,DAL,C,81,130.6666667,1,1,1,0,2,66.67,10,10,12,12,8,8,0,1,4,2,2,0,0,4,1,3,4,4,10,72,70,50.7
2019,Oskar Sundqvist,STL,C,74,123.0666667,1,1,1,0,2,100,12,8.33,16,14,12,8,2,1,0,0,0,0,0,3,1,8,1,4,4,7,23,23.33
2019,Esa Lindell,DAL,D,82,265.05,2,0,0,0,2,66.67,14,14.29,17,14,3,0,2,0,4,2,2,0,0,3,11,6,8,4,45,0,0,-
2019,Devin Shore,"ANA, DAL",C,76,97.18333333,2,0,0,0,2,100,3,66.67,6,4,2,1,0,0,0,0,0,0,0,0,1,4,1,1,5,7,8,46.67
2019,Jujhar Khaira,EDM,L,60,69.18333333,1,1,1,0,2,66.67,8,12.5,9,9,7,3,2,0,0,0,0,0,0,4,2,4,0,0,7,4,9,30.77
2019,Jaccob Slavin,CAR,D,82,197.0833333,1,1,1,0,2,40,13,7.69,15,13,1,1,1,0,0,0,0,0,0,2,6,6,12,4,23,0,1,0
2019,Cedric Paquette,T.B,C,80,161.3666667,2,0,0,0,2,66.67,6,33.33,8,8,7,5,1,0,25,7,5,1,1,10,1,6,2,5,19,41,61,40.2
2019,Tyler Motte,VAN,C,74,127.05,2,0,0,0,2,66.67,12,16.67,14,14,9,4,1,0,0,0,0,0,0,5,3,7,3,1,10,4,7,36.36
2019,Brett Pesce,CAR,D,73,182.55,0,2,1,1,2,40,1,0,1,1,1,0,0,0,0,0,0,0,0,2,5,4,3,4,24,0,0,-
2019,Josh Morrissey,WPG,D,59,165.7833333,1,1,0,1,2,50,2,50,3,3,1,1,0,0,0,0,0,0,0,1,7,4,7,2,14,0,0,-
2019,Ryan Carpenter,VGK,C,68,85.11666667,1,1,1,0,2,66.67,3,33.33,3,3,2,1,0,1,0,0,0,0,0,0,1,3,4,2,2,15,15,50
2019,Garnet Hathaway,CGY,R,76,128.6,2,0,0,0,2,50,9,22.22,12,11,9,6,2,0,2,1,1,0,0,7,5,4,9,4,8,2,5,28.57
2019,Pierre-Edouard Bellemare,VGK,"C, L",76,147.9,2,0,0,0,2,66.67,10,20,15,13,7,5,3,0,0,0,0,0,0,1,3,7,6,5,12,66,80,45.21
2019,Kasperi Kapanen,TOR,R,78,125.3833333,2,0,0,0,2,66.67,9,22.22,15,13,9,4,4,0,0,0,0,0,0,1,1,8,4,3,5,2,2,50
2019,Ivan Barbashev,STL,C,80,126.8666667,2,0,0,0,2,100,7,28.57,10,9,6,5,1,0,2,1,1,0,0,4,1,5,1,2,5,16,27,37.21
2019,Noah Hanifin,CGY,D,80,135.0833333,1,1,1,0,2,40,7,14.29,9,8,4,2,1,2,0,0,0,0,0,1,2,6,5,0,4,0,0,-
2019,Connor McDavid,EDM,C,78,49.2,1,1,1,0,2,66.67,3,33.33,8,7,6,1,0,0,0,0,0,0,0,1,0,0,1,0,1,7,9,43.75
2019,Brandon Carlo,BOS,D,72,199.0666667,0,2,0,2,2,66.67,5,0,6,5,1,1,0,0,0,0,0,0,0,4,3,7,19,2,17,0,0,-
2019,Mathieu Joseph,T.B,R,70,47.76666667,0,2,2,0,2,100,6,0,6,6,5,1,1,0,0,0,0,0,0,1,1,4,0,1,0,1,1,50
2019,Lawson Crouse,ARI,L,81,104.7833333,2,0,0,0,2,50,7,28.57,10,9,6,3,1,1,0,0,0,0,0,5,1,1,2,3,7,4,6,40
2019,Ron Hainsey,TOR,D,81,229.75,1,0,0,0,1,25,9,11.11,10,10,1,0,2,0,2,1,1,0,0,1,10,5,6,7,25,1,0,100
