Year,Player,Team,Position,GP,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per
2019,Brandon Manning,"CHI, EDM",D,39,71.4,1.830769231,21.85,105.04,17.22,21.01,86.55,19.53,17.65,62.18,22.11,1.68,11.76,12.5,15.13,54.62,21.69,7.56,21.01,26.47,1.68,4.2,28.57,10.08,44.82,18.37,0,6.72,0,4.86,66.76,6.78,0,3.64,0,9.52,81.08,0.906,0,7.56,34.45,49.58,0,3.36,14.29,42.02,7.41
2019,Jacob Trouba,WPG,D,82,203.95,2.487195122,11.77,105.03,10.08,9.71,80.02,10.82,8.83,61.19,12.61,1.47,7.06,17.24,5.88,47.95,10.93,3.82,21.77,14.94,0.88,3.82,18.75,2.75,34.91,7.29,0.39,2.35,14.29,2.97,71.39,4,0,1.7,0,16.67,88.46,1.051,0.59,7.65,39.72,19.71,1.46,3.24,12.94,62.96,4.89
2019,Ryan Carpenter,VGK,C,68,85.11666667,1.251715686,21.85,105.03,17.22,19.74,83.18,19.18,14.1,66.26,17.54,2.11,8.46,20,7.75,57.8,11.83,3.52,28.2,11.11,0.7,6.34,10,5.64,39.48,12.5,1.88,0.94,66.67,8.15,62.11,11.59,0,2.04,0,15,87.23,1.022,2.11,4.93,33.84,47.93,5.88,3.52,14.1,45.82,7.14
2019,Brayden McNabb,VGK,D,81,228.0166667,2.815020576,15.53,104.99,12.88,14.21,78.68,15.3,11.58,58.68,16.48,0.53,8.16,6.06,6.05,56.05,9.75,3.68,21.58,14.58,0.26,3.95,6.25,3.16,45.96,6.43,0,2.81,0,5.7,66.52,7.89,0.38,3.04,11.11,4.55,86.1,0.906,0.79,5.26,36.05,7.63,2.14,3.42,10,60,5.39
2019,Victor Mete,MTL,D,71,62.86666667,0.8854460094,18.13,104.98,14.73,17.18,78.26,18,12.41,62.04,16.67,0.95,4.77,16.67,12.41,62.04,16.67,8.59,28.63,23.08,0,2.86,0,5.09,44.54,10.26,0,2.55,0,5.51,57.9,8.7,1.38,0,100,7.69,92.31,1,2.86,6.68,24.81,59.17,10.34,4.77,9.54,32.45,12.82
2019,Drew Doughty,L.A,D,82,201.2166667,2.453861789,12.52,104.96,10.66,11.03,82.9,11.75,9.54,58.44,14.04,0.6,10.44,5.41,6.56,56.36,10.43,2.39,22.66,9.52,0.3,5.07,5.56,5.57,44.93,11.02,0,3.18,0,4.74,67.19,6.59,0,4.31,0,6.25,82.14,0.884,0.3,5.96,42.64,19.98,0.69,0.89,8.65,70.07,1.26
2019,Nathan Beaulieu,"BUF, WPG",D,48,29.73333333,0.6194444444,24.22,104.93,18.75,20.18,86.77,18.87,14.13,64.57,17.95,0,6.05,0,12.11,60.54,16.67,2.02,36.32,5.26,0,4.04,0,13.45,32.29,29.41,0,2.69,0,8.74,61.21,12.5,0,0,-,0,90.63,0.906,6.05,2.02,26.23,60.54,18.75,8.07,4.04,38.34,17.39
2019,Slater Koekkoek,"CHI, T.B",D,31,40.75,1.314516129,5.89,104.54,5.33,4.42,79.51,5.26,2.94,63.31,4.44,0,10.31,0,1.47,48.59,2.94,0,32.39,0,0,7.36,0,1.96,21.6,8.33,0,0,-,4.25,74.44,5.41,0,4.25,0,0,83.72,0.837,1.47,5.89,39.75,30.92,3.57,2.94,11.78,57.42,4.88
2019,Patrik Nemeth,COL,D,74,237.2,3.205405405,14.92,104.47,12.5,14.42,73.36,16.43,12.39,51.85,19.29,1.01,5.82,14.81,7.59,46.29,14.08,4.55,17.2,20.93,0.51,4.05,11.11,4.05,38.79,9.45,0.67,1.01,40,4.02,78.56,4.87,0,1.46,0,8.16,88.78,0.969,1.01,5.06,29.09,21.5,3.36,2.28,10.88,47.3,4.59
2019,Dustin Brown,L.A,R,72,122.4833333,1.701157407,12.74,104.34,10.88,11.27,80.83,12.23,9.31,55.35,14.39,0.49,7.35,6.25,5.88,50.95,10.34,4.41,17.15,20.45,0.49,2.94,14.29,1.96,45.07,4.17,0,1.96,0,3.54,72.88,4.63,0,4.25,0,5.26,86.73,0.92,0.49,8.33,61.23,31.35,0.79,1.47,10.78,73.97,1.95
2019,Mats Zuccarello,"DAL, NYR","C, R",48,73.05,1.521875,14.78,104.31,12.41,13.14,83.78,13.56,9.86,64.89,13.19,0,11.5,0,7.39,58.32,11.25,3.29,29.57,10,0,5.75,0,5.48,38.33,12.5,0,4.38,0,4.75,64.07,6.9,0,3.56,0,0,82.28,0.823,2.46,3.29,27.93,58.32,8.11,3.29,9.86,36.14,8.33
