Year,Player,Team,Position,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,Shots,SHPer,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Per
2015,Adam Pardy,WPG,D,55,826.0333333,0,9,5,4,9,29,0,79,41,23,6,0,3,40,16,15,0,1,15,35,10,74,103,59,0,0,-
2015,Roman Polak,TOR,D,56,1180.95,5,4,1,3,9,61,8.2,129,93,32,13,3,4,48,20,19,0,1,11,28,23,225,93,128,1,0,100
2015,Chris Butler,STL,D,33,567.3,3,6,3,3,9,54,5.56,91,64,22,4,3,1,23,10,9,1,0,9,9,5,31,61,38,0,0,-
2015,Joe Vitale,ARI,C,70,786.05,3,6,4,2,9,55,5.45,95,78,52,30,3,8,36,15,13,2,0,11,11,30,104,87,65,354,379,48.29
2015,Jamie McBain,L.A,D,26,329.8666667,3,6,1,5,9,18,16.67,60,38,14,4,1,3,4,2,2,0,0,1,6,3,21,28,28,0,0,-
2015,Rob Klinkhammer,"ARI, EDM, PIT",L,69,774.0166667,5,4,3,1,9,64,7.81,118,94,65,32,4,5,27,12,11,1,0,25,12,13,236,83,12,10,27,27.03
2015,Cody Goloubef,CBJ,D,36,560.35,0,9,5,4,9,23,0,65,46,9,2,0,6,19,8,7,1,0,3,14,3,44,41,30,0,0,-
2015,Jared Cowen,OTT,D,54,980.1333333,3,6,2,4,9,47,6.38,104,66,20,2,2,3,45,18,15,3,0,12,33,13,159,112,76,0,0,-
2015,Jordan Nolan,L.A,C,60,597.8666667,6,3,2,1,9,44,13.64,89,67,47,24,4,2,54,17,12,4,1,19,16,11,102,74,11,1,5,16.67
2015,Nathan Beaulieu,MTL,D,64,1004.75,1,8,4,4,9,62,1.61,147,98,31,4,1,9,45,14,10,3,1,13,47,8,50,129,69,0,0,-
2015,J.T. Brown,T.B,R,52,551.55,3,6,3,3,9,74,4.05,124,100,71,33,7,6,30,12,10,2,0,10,18,7,43,71,20,6,7,46.15
2015,Olli Maatta,PIT,D,20,414.1666667,1,8,4,4,9,27,3.7,56,38,15,3,0,1,10,5,5,0,0,6,11,3,18,42,33,0,0,-
2015,Teuvo Teravainen,CHI,L,34,434.6666667,4,5,4,1,9,66,6.06,103,78,57,19,2,6,2,1,1,0,0,4,15,11,11,28,14,29,33,46.77
2015,Leon Draisaitl,EDM,C,37,469.7333333,2,7,6,1,9,49,4.08,77,67,44,21,0,7,4,2,2,0,0,9,16,14,21,45,8,128,187,40.63
2015,Willie Mitchell,FLA,D,66,1430.8,3,5,2,3,8,78,3.85,183,109,35,4,4,6,25,11,10,1,0,7,34,17,99,128,144,0,0,-
2015,Brenden Morrow,T.B,L,70,652.9333333,3,5,4,1,8,28,10.71,60,47,41,24,1,5,64,22,17,4,1,15,20,11,112,68,16,0,0,-
2015,Tomas Kopecky,FLA,R,64,825.8333333,2,6,5,1,8,106,1.89,184,144,77,38,10,8,28,14,14,0,0,17,12,11,88,104,22,3,1,75
2015,Carlo Colaiacovo,PHI,D,33,544,2,6,4,2,8,42,4.76,108,72,32,6,2,4,10,5,5,0,0,1,18,10,46,41,33,0,0,-
2015,Colin McDonald,NYI,R,18,189.1333333,2,6,4,2,8,29,6.9,48,39,30,16,4,3,0,0,0,0,0,3,5,2,72,28,6,2,2,50
2015,Daniel Carcillo,CHI,L,39,319.3833333,4,4,3,1,8,42,9.52,72,61,31,19,3,4,54,14,7,6,1,20,5,6,36,39,7,0,1,0
2015,Clayton Stoner,ANA,D,69,1214.233333,1,7,7,0,8,68,1.47,157,100,34,3,3,7,68,22,14,8,0,13,40,10,128,169,84,0,0,-
2015,Jack Skille,CBJ,R,45,563.55,6,2,2,0,8,95,6.32,146,125,68,34,6,6,16,5,3,2,0,11,2,17,96,53,15,3,5,37.5
2015,Mark Fayne,EDM,D,74,1327.283333,2,6,1,5,8,78,2.56,185,107,25,4,5,10,14,7,7,0,0,0,49,21,81,131,125,0,0,-
2015,Matt Halischuk,WPG,R,47,458,3,5,1,4,8,59,5.08,83,72,51,26,6,5,6,3,3,0,0,7,9,11,55,36,24,1,0,100
