"Year","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"2015","Francois Beauchemin","ANA","D","64","143.08333333333","0","1","0","1","1","inf","2","0.00","5","5","1","0","0","0","12","2","1","0","1","2","3","4","13","3","18","0","0","-"
"2015","Brian Gionta","BUF","R","69","89.55","1","0","0","0","1","100.00","5","20.00","6","6","1","0","0","0","0","0","0","0","0","2","1","2","6","1","3","24","45","34.78"
"2015","Rob Scuderi","PIT","D","82","257.08333333333","0","1","1","0","1","100.00","1","0.00","1","1","0","0","0","0","0","0","0","0","0","3","9","1","9","2","28","0","0","-"
"2015","Andrei Markov","MTL","D","81","203.16666666667","0","1","0","1","1","50.00","1","0.00","5","4","0","0","0","0","2","1","1","0","0","1","14","6","5","5","20","0","0","-"
"2015","Barret Jackman","STL","D","80","180.81666666667","0","1","0","1","1","100.00","5","0.00","7","7","1","1","1","1","4","2","2","0","0","7","3","1","11","2","29","0","0","-"
"2015","Matt Hendricks","EDM","L","71","154.4","1","0","0","0","1","50.00","8","12.50","10","10","8","5","0","0","2","1","1","0","0","6","0","7","5","4","21","20","17","54.05"
"2015","Deryk Engelland","CGY","D","76","66.183333333333","0","1","0","1","1","50.00","2","0.00","2","2","0","0","1","0","0","0","0","0","0","3","2","4","2","1","18","0","0","-"
"2015","Marcel Goc","PIT, STL","C","74","169.21666666667","0","1","0","1","1","100.00","8","0.00","11","9","5","1","0","0","0","0","0","0","0","0","1","1","6","4","17","79","73","51.97"
"2015","Cody McCormick","BUF","C","33","73.05","1","0","0","0","1","100.00","3","33.33","5","3","2","2","0","0","12","2","1","0","1","3","0","0","1","0","7","37","52","41.57"
"2015","Kevin Bieksa","VAN","D","60","113.01666666667","0","1","0","1","1","100.00","5","0.00","6","5","2","2","0","0","14","3","2","0","1","6","6","4","11","1","8","0","0","-"
"2015","Brooks Laich","WSH","C","66","144.68333333333","0","1","1","0","1","50.00","12","0.00","14","14","11","3","2","0","2","1","1","0","0","2","4","4","5","4","16","27","51","34.62"
"2015","David Moss","ARI","R","60","81.7","0","1","1","0","1","50.00","6","0.00","9","7","6","3","1","1","0","0","0","0","0","0","1","6","3","3","11","2","3","40.00"
"2015","Matt Stajan","CGY","C","59","80.35","0","1","1","0","1","100.00","1","0.00","3","1","1","0","1","0","6","3","3","0","0","0","1","7","0","0","3","43","49","46.74"
"2015","Gregory Campbell","BOS","C","70","106.53333333333","1","0","0","0","1","100.00","3","33.33","4","3","2","2","0","0","0","0","0","0","0","2","0","1","2","2","10","44","45","49.44"
"2015","Eric Nystrom","NSH","L","60","136.4","1","0","0","0","1","50.00","2","50.00","4","3","1","0","0","0","5","1","0","1","0","0","1","3","2","3","4","1","3","25.00"
"2015","Johnny Boychuk","NYI","D","72","147.46666666667","0","1","1","0","1","33.33","2","0.00","5","4","0","0","0","0","2","1","1","0","0","1","8","4","18","4","27","1","0","100.00"
"2015","Duncan Keith","CHI","D","80","186.9","0","1","1","0","1","100.00","4","0.00","7","6","2","0","1","0","2","1","1","0","0","1","4","4","1","3","20","0","0","-"
"2015","Jim Slater","WPG","C","82","185.7","0","1","1","0","1","50.00","5","0.00","6","6","5","2","2","0","8","4","4","0","0","3","3","2","8","4","28","154","142","52.03"
"2015","Patrick Dwyer","CAR","R","71","147.75","0","1","1","0","1","50.00","6","0.00","13","8","4","2","2","0","0","0","0","0","0","2","2","2","4","9","13","0","4","0.00"
"2015","Jonathan Ericsson","DET","D","82","219.61666666667","0","1","1","0","1","50.00","3","0.00","6","6","1","0","0","2","4","2","2","0","0","5","10","1","16","5","13","0","0","-"
"2015","Josh Gorges","BUF","D","46","136.31666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","1","4","0","6","1","35","0","0","-"
"2015","Alexandre Burrows","VAN","L","70","85.35","1","0","0","0","1","100.00","6","16.67","8","6","5","5","2","0","6","3","3","0","0","5","1","4","0","3","8","1","2","33.33"
"2015","Andre Benoit","BUF","D","59","74.633333333333","1","0","0","0","1","50.00","2","50.00","3","3","1","1","0","0","0","0","0","0","0","0","2","1","4","0","9","0","0","-"
"2015","Chris Kunitz","PIT","L","74","8.9","1","0","0","0","1","100.00","2","50.00","3","3","3","0","0","0","16","4","3","0","1","3","0","1","1","0","0","0","0","-"
"2015","Milan Michalek","OTT","L","66","113.55","1","0","0","0","1","50.00","8","12.50","11","9","6","4","0","1","2","1","1","0","0","1","1","6","5","1","6","5","7","41.67"
"2015","Ryan Suter","MIN","D","77","156.06666666667","0","1","1","0","1","33.33","0","-","1","0","1","0","0","0","4","2","2","0","0","1","3","4","2","1","11","0","0","-"
"2015","Dion Phaneuf","TOR","D","70","195.4","0","1","0","1","1","25.00","3","0.00","3","3","0","0","0","0","6","3","3","0","0","14","13","5","7","3","26","0","0","-"
"2015","Brent Seabrook","CHI","D","82","149.1","0","1","0","1","1","100.00","2","0.00","5","3","1","1","1","1","0","0","0","0","0","3","8","3","11","5","27","0","0","-"
"2015","Eric Fehr","WSH","C","75","105.16666666667","1","0","0","0","1","100.00","9","11.11","12","10","8","1","1","0","2","1","1","0","0","4","4","8","1","1","5","23","22","51.11"
"2015","Loui Eriksson","BOS","L","81","129.33333333333","0","1","1","0","1","100.00","17","0.00","20","20","9","3","4","1","0","0","0","0","0","3","1","8","1","5","4","1","0","100.00"
"2015","Shea Weber","NSH","D","78","191.76666666667","1","0","0","0","1","33.33","6","16.67","9","6","4","2","3","0","4","2","2","0","0","3","5","2","11","0","29","0","0","-"
"2015","Jan Hejda","COL","D","81","183.41666666667","0","1","0","1","1","33.33","1","0.00","1","1","0","0","0","0","2","1","1","0","0","0","4","9","31","3","15","0","0","-"
"2015","Kyle Quincey","DET","D","73","161.56666666667","0","1","1","0","1","inf","1","0.00","1","1","0","0","0","0","8","4","4","0","0","7","3","4","10","6","16","0","0","-"
"2015","Tyson Strachan","BUF","D","46","98.7","0","1","0","1","1","inf","0","-","0","0","0","0","0","0","19","4","2","1","1","5","2","3","6","1","21","0","0","-"
"2015","John Mitchell","COL","C","68","39.733333333333","1","0","0","0","1","100.00","2","50.00","3","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","2","22","20","52.38"
"2015","Brad Richardson","VAN","C, R","45","87.766666666667","1","0","0","0","1","100.00","2","50.00","2","2","1","1","0","0","0","0","0","0","0","1","0","1","6","1","1","50","72","40.98"
"2015","Nate Thompson","ANA","C","80","145.23333333333","1","0","0","0","1","100.00","6","16.67","9","9","3","1","1","0","0","0","0","0","0","2","3","2","5","2","20","66","86","43.42"
"2015","Drew Miller","DET","L","82","257.28333333333","1","0","0","0","1","100.00","8","12.50","14","12","6","5","1","0","0","0","0","0","0","0","3","8","2","5","43","3","8","27.27"
"2015","Kyle Brodziak","MIN","C","73","173.55","1","0","0","0","1","100.00","4","25.00","11","9","6","3","1","0","0","0","0","0","0","6","1","8","1","4","16","66","66","50.00"
"2015","Dustin Byfuglien","WPG","D","69","84.233333333333","0","1","0","1","1","100.00","4","0.00","6","5","2","2","2","0","27","4","1","1","2","3","7","4","13","1","12","0","0","-"
"2015","Mark Giordano","CGY","D","61","130.91666666667","1","0","0","0","1","50.00","6","16.67","10","8","3","1","0","0","2","1","1","0","0","4","9","5","5","3","14","0","0","-"
"2015","Andrew Ladd","WPG","L","81","146.58333333333","0","1","0","1","1","50.00","10","0.00","12","12","9","3","0","0","4","2","2","0","0","2","4","3","10","4","8","1","4","20.00"
"2015","Drew Stafford","BUF, WPG","R","76","30.666666666667","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","2","1","1","0","0","1","0","0","3","0","2","4","12","25.00"
"2015","Lauri Korpikoski","ARI","L","69","115.88333333333","0","1","1","0","1","100.00","5","0.00","7","5","3","1","2","1","0","0","0","0","0","0","0","8","4","4","7","2","5","28.57"
"2015","Dave Bolland","FLA","C","53","94.166666666667","1","0","0","0","1","100.00","2","50.00","2","2","1","0","1","0","10","4","4","0","0","1","2","4","6","1","4","48","79","37.80"
"2015","David Booth","TOR","L","59","78.7","0","1","1","0","1","100.00","9","0.00","16","13","9","6","1","0","0","0","0","0","0","2","3","2","3","2","1","1","5","16.67"
"2015","Brandon Dubinsky","CBJ","C","47","113.21666666667","1","0","0","0","1","100.00","9","11.11","14","11","9","5","2","1","2","1","1","0","0","3","2","8","1","1","2","57","49","53.77"
"2015","David Krejci","BOS","C","47","27.3","1","0","0","0","1","100.00","1","100.00","1","1","1","1","0","0","0","0","0","0","0","0","0","0","3","1","2","15","13","53.57"
"2015","Brandon Prust","MTL","L","82","144.05","0","1","1","0","1","100.00","4","0.00","6","5","3","2","2","0","0","0","0","0","0","8","3","3","11","4","10","2","5","28.57"
"2015","Andrej Sekera","CAR, L.A","D","73","127.23333333333","0","1","0","1","1","50.00","2","0.00","6","6","2","1","0","0","4","2","2","0","0","1","6","7","6","2","15","0","0","-"
"2015","Adam Pardy","WPG","D","55","133.88333333333","0","1","1","0","1","33.33","1","0.00","3","2","1","0","0","0","10","5","5","0","0","4","8","3","8","4","20","0","0","-"
"2015","Patrick Kaleta","BUF","R","42","49.95","0","1","1","0","1","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","2","0","1","4","1","8","0","1","0.00"
"2015","Daniel Winnik","PIT, TOR","L","79","258.21666666667","0","1","1","0","1","33.33","6","0.00","14","10","9","0","1","0","2","1","1","0","0","7","2","11","2","9","21","50","61","45.05"
"2015","Cody McLeod","COL","L","82","111.05","1","0","0","0","1","100.00","2","50.00","6","3","2","1","1","0","12","3","1","2","0","13","0","4","6","2","12","1","7","12.50"
"2015","Benoit Pouliot","EDM","L","58","66.083333333333","1","0","0","0","1","100.00","4","25.00","6","6","4","4","0","1","2","1","1","0","0","2","1","6","6","1","7","2","4","33.33"
"2015","Martin Hanzal","ARI","C","37","49.533333333333","0","1","1","0","1","50.00","4","0.00","5","4","3","1","0","1","0","0","0","0","0","0","0","1","2","0","6","25","27","48.08"
