,Player,FantasyTeam,OverallDraftNumber,DraftRound,Fantasy Points,Modeled_Fantasy_Points,Points Differential
136,Wayne Simmonds,Team Game Blouses,14,2,133.10000000000002,145.65533068365332,12.555330683653295
137,Craig Smith,London Bacon Blades,217,19,155.95,144.92691158336802,11.023088416631964
138,Viktor Arvidsson,Davinci's McDavid,81,7,150.79999999999998,153.43841025460733,2.6384102546073507
139,Anders Lee,Amesville Aliens,140,12,197.50000000000003,193.67222590562133,3.8277740943786966
140,Mathew Barzal,Shat Deuces,31,3,196.3,179.44897819834588,16.851021801654127
141,Nick Leddy,Paul North Kariya,185,16,129.1,159.8019649617197,30.70196496171971
142,Ryan Pulock,Team Game Blouses,143,12,192.45,175.46607599301046,16.983924006989525
143,Sebastian Aho,Team Game Blouses,266,23,255.00000000000003,227.79814151468358,27.20185848531645
144,Josh Bailey,Team Game Blouses,119,10,166.55,163.52866803202016,3.0213319679798474
145,Jordan Eberle,Datsyuk's Dekes,203,17,137.9,148.37960197033402,10.479601970334016
146,Vladislav Namestnikov,Beet Beet Gourde Gourde,252,21,142.85,128.65589754136371,14.19410245863628
147,Kevin Shattenkirk,Amesville Aliens,125,11,134.0,129.88286341097987,4.117136589020134
148,Chris Kreider,Tronhelm Black Bears,196,17,207.85,186.28391854743916,21.566081452560837
149,Pavel Buchnevich,Gritty Gritty Bang Bang,267,23,125.89999999999999,109.5196553093431,16.380344690656898
150,Mika Zibanejad,Takoma Park Holtbeasts,198,17,290.90000000000003,225.32869412301596,65.57130587698407
151,Claude Giroux,Paul North Kariya,20,2,244.04999999999998,242.82813336755066,1.22186663244932
152,Sean Couturier,Team Game Blouses,95,8,253.6,238.1253762061151,15.474623793884888
153,Travis Konecny,Davinci's McDavid,160,14,170.55,158.26067279669834,12.289327203301667
154,Shayne Gostisbehere,Team Game Blouses,47,4,153.15,139.19784196061207,13.952158039387939
155,Ivan Provorov,Takoma Park Holtbeasts,115,10,167.84999999999997,173.25304418707827,5.403044187078308
156,James van Riemsdyk,Beet Beet Gourde Gourde,133,12,138.54999999999998,127.95043807023612,10.599561929763865
157,Jakub Voracek,Every Day I'm Byfuglien,39,4,167.25,172.35766773379575,5.107667733795751
158,Sidney Crosby,London Bacon Blades,1,1,334.19999999999993,265.78618852948694,68.413811470513
159,Nick Bjugstad,Beet Beet Gourde Gourde,181,16,136.2,113.63498472133065,22.565015278669335
160,Evgeni Malkin,Tronhelm Black Bears,16,2,224.75,184.004243532611,40.745756467388986
161,Justin Schultz,London Bacon Blades,169,15,63.85,46.17813849231347,17.67186150768653
