Year,Player,Team,Position,GP,PPTOI,PPGoals,PPTotal_Assists,PPFirst_Assists,PPSecond_Assists,PPTotal_Points,PPShots,PPSHPer,PPiCF,PPiFF,PPiSCF,PPiHDCF,PPRush_Attempts,PPRebounds_Created,PPPIM,PPTotal_Penalties,PPMinor,PPMajor,PPMisconduct,PPPenalties_Drawn,PPGiveaways,PPTakeaways,PPHits,PPHits_Taken,PPShots_Blocked,PPFaceoffs_Won,PPFaceoffs_Lost,PPFaceoffs_Per
2015,John-Michael Liles,CAR,D,57,109.7333333,0,7,5,2,7,16,0,33,22,13,1,1,1,0,0,0,0,0,0,5,2,4,6,1,0,0,-
2015,Derek Roy,"EDM, NSH",C,72,117.6833333,4,3,2,1,7,16,25,31,21,21,10,0,0,2,1,1,0,0,3,7,2,0,2,2,44,59,42.72
2015,Corey Perry,ANA,R,67,186.3833333,4,3,2,1,7,38,10.53,62,53,50,33,1,3,25,11,10,1,0,0,10,3,4,17,0,0,3,0
2015,Toby Enstrom,WPG,D,60,184.85,1,6,5,1,7,14,7.14,40,25,15,4,0,5,6,3,3,0,0,0,2,0,0,2,2,0,0,-
2015,Travis Zajac,N.J,C,74,148.4666667,4,3,1,2,7,26,15.38,45,35,27,9,0,4,4,2,2,0,0,1,8,1,4,3,0,64,48,57.14
2015,Brandon Dubinsky,CBJ,C,47,92.85,0,7,3,4,7,11,0,28,21,13,6,0,3,15,3,0,3,0,1,3,0,2,3,0,47,41,53.41
2015,Benoit Pouliot,EDM,L,58,118.2833333,4,3,3,0,7,19,21.05,24,23,21,14,0,5,0,0,0,0,0,0,4,2,0,5,1,0,1,0
2015,Jakub Kindl,DET,D,35,66.88333333,2,5,2,3,7,14,14.29,29,15,6,0,0,1,0,0,0,0,0,0,3,0,1,1,1,0,0,-
2015,Darren Helm,DET,C,75,108.0166667,3,4,1,3,7,15,20,17,16,15,11,0,1,2,1,1,0,0,0,3,0,3,7,0,10,7,58.82
2015,Jordan Staal,CAR,C,46,92.13333333,1,6,3,3,7,18,5.56,30,26,27,22,0,2,2,1,1,0,0,1,4,0,1,6,0,48,35,57.83
2015,Michael Frolik,WPG,R,82,134.5333333,3,4,0,4,7,18,16.67,31,22,22,12,0,3,4,2,2,0,0,0,1,2,2,7,0,1,7,12.5
2015,Patrick Maroon,ANA,L,71,154.2333333,1,6,4,2,7,17,5.88,36,28,28,21,0,6,33,9,4,5,0,1,2,2,3,9,0,3,3,50
2015,Colin Wilson,NSH,"C, L",77,190.5166667,3,4,3,1,7,28,10.71,45,39,37,26,0,4,2,1,1,0,0,1,4,3,3,12,0,4,12,25
2015,Travis Hamonic,NYI,D,71,85.25,1,6,3,3,7,21,4.76,42,27,14,3,0,3,2,1,1,0,0,1,8,2,0,2,0,0,0,-
2015,Jori Lehtera,STL,C,75,173.35,2,5,2,3,7,23,8.7,30,28,23,17,0,3,6,3,3,0,0,0,1,1,1,12,0,82,69,54.3
2015,Anton Lander,EDM,C,38,78.66666667,4,3,1,2,7,15,26.67,19,18,16,11,1,2,2,1,1,0,0,1,3,0,0,3,1,17,21,44.74
2015,Matt Duchene,COL,C,82,191.15,2,5,2,3,7,35,5.71,49,44,24,10,0,4,0,0,0,0,0,3,7,1,0,10,3,54,52,50.94
2015,Nazem Kadri,TOR,C,73,180.0333333,3,4,2,2,7,31,9.68,57,45,22,16,0,3,2,1,1,0,0,3,6,2,3,26,2,43,65,39.81
2015,Brandon Pirri,FLA,R,49,84.95,7,0,0,0,7,32,21.88,55,44,24,4,0,4,2,1,1,0,0,1,2,1,2,4,0,3,7,30
2015,Jeff Skinner,CAR,L,77,163.2166667,4,3,2,1,7,34,11.76,74,46,32,13,2,8,4,2,2,0,0,0,8,3,1,8,0,9,9,50
2015,Mikael Granlund,MIN,"C, R",68,148.2166667,0,7,5,2,7,18,0,31,22,18,7,0,4,0,0,0,0,0,0,4,0,0,10,0,38,40,48.72
2015,Damon Severson,N.J,D,51,108.1166667,0,7,2,5,7,19,0,33,23,9,1,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,-
2015,Nathan MacKinnon,COL,C,64,158.2833333,3,4,2,2,7,22,13.64,44,33,21,5,0,3,9,3,2,1,0,0,10,1,3,10,0,32,26,55.17
2015,Aleksander Barkov,FLA,C,71,160.1666667,3,4,1,3,7,21,14.29,30,26,23,9,0,1,6,3,3,0,0,1,4,3,4,17,0,52,64,44.83
2015,Martin Havlat,N.J,R,40,64.81666667,3,3,2,1,6,7,42.86,12,11,7,5,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,-
2015,Martin Erat,ARI,R,79,131.35,3,3,1,2,6,12,25,28,21,17,10,0,1,10,5,5,0,0,0,3,1,5,13,1,0,0,-
2015,Dustin Brown,L.A,R,82,124.0166667,1,5,2,3,6,18,5.56,29,25,19,16,0,1,6,3,3,0,0,4,7,0,7,11,0,8,6,57.14
2015,Andrej Sekera,"CAR, L.A",D,73,134.2166667,1,5,2,3,6,17,5.88,46,25,15,3,0,3,0,0,0,0,0,0,7,1,2,7,2,0,0,-
2015,Erik Johnson,COL,D,47,126.85,3,3,2,1,6,27,11.11,56,34,13,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,-
2015,Riley Nash,CAR,C,68,114.4833333,1,5,4,1,6,13,7.69,30,19,17,9,0,1,0,0,0,0,0,0,6,4,5,7,0,50,44,53.19
2015,Nick Holden,COL,D,78,146.5,2,4,2,2,6,14,14.29,28,23,9,3,0,1,0,0,0,0,0,0,1,1,6,3,2,0,0,-
2015,Tyler Myers,"BUF, WPG",D,71,207.55,2,4,2,2,6,39,5.13,65,46,23,3,1,5,4,2,2,0,0,0,2,5,2,8,5,0,0,-
2015,Jared Spurgeon,MIN,D,66,134.6666667,3,3,2,1,6,21,14.29,39,32,22,9,0,2,0,0,0,0,0,0,2,0,1,6,3,0,0,-
2015,Zach Redmond,COL,D,59,89.56666667,1,5,5,0,6,12,8.33,26,16,12,1,0,1,0,0,0,0,0,1,1,0,4,1,2,0,0,-
2015,Alex Chiasson,OTT,R,76,145.4666667,3,3,3,0,6,24,12.5,34,33,32,25,0,6,23,6,4,1,1,1,3,0,4,11,0,0,1,0
2015,Evander Kane,WPG,L,37,81.85,4,2,1,1,6,21,19.05,41,28,20,10,2,5,2,1,1,0,0,0,2,1,3,6,0,5,3,62.5
2015,Ryan Ellis,NSH,D,58,127.7666667,2,4,3,1,6,36,5.56,60,46,2,0,0,4,10,1,0,0,1,0,4,0,0,6,2,0,0,-
2015,Dmitry Kulikov,FLA,D,73,108.5,1,5,2,3,6,15,6.67,36,23,10,1,0,3,7,2,1,1,0,0,2,1,0,4,4,0,0,-
2015,Linden Vey,VAN,R,75,139.0666667,4,2,1,1,6,15,26.67,26,21,22,8,0,0,4,2,2,0,0,1,3,1,1,3,0,20,24,45.45
2015,Anders Lee,NYI,L,76,166.8833333,5,1,1,0,6,32,15.63,48,44,41,33,0,8,2,1,1,0,0,0,6,1,7,15,0,0,0,-
2015,Mats Zuccarello,NYR,R,78,153.9666667,0,6,4,2,6,20,0,50,33,25,3,1,3,11,4,3,1,0,3,2,5,2,2,3,5,9,35.71
2015,Taylor Hall,EDM,L,53,132.9166667,3,3,3,0,6,41,7.32,79,52,29,7,2,9,4,2,2,0,0,1,7,5,6,4,1,0,3,0
2015,Andrew Shaw,CHI,C,79,214.3833333,5,1,0,1,6,19,26.32,28,28,26,26,0,2,12,6,6,0,0,3,2,2,4,17,0,10,12,45.45
2015,Sean Couturier,PHI,C,82,128.7,1,5,2,3,6,15,6.67,31,20,11,5,0,5,7,2,1,1,0,3,1,1,2,4,0,47,41,53.41
2015,Hampus Lindholm,ANA,D,78,124.5166667,0,6,5,1,6,18,0,37,24,11,1,1,1,2,1,1,0,0,0,7,2,0,1,1,0,0,-
2015,Tomas Hertl,S.J,C,82,122.2166667,3,3,0,3,6,16,18.75,32,22,23,13,0,6,2,1,1,0,0,0,9,0,1,5,1,15,10,60
2015,Jacob Trouba,WPG,D,65,125.3833333,1,5,3,2,6,23,4.35,58,35,14,4,1,4,4,2,2,0,0,0,4,4,4,4,2,0,0,-
2015,Danny DeKeyser,DET,D,80,103.3333333,0,6,4,2,6,10,0,37,19,7,0,0,1,4,2,2,0,0,0,1,0,4,2,1,0,0,-
2015,Jonathan Drouin,T.B,L,70,135.15,3,3,1,2,6,8,37.5,14,10,11,4,1,1,2,1,1,0,0,0,8,3,1,3,0,2,1,66.67
2015,Zdeno Chara,BOS,D,63,131.9,4,1,0,1,5,29,13.79,47,35,26,20,1,2,6,3,3,0,0,0,5,0,1,2,2,0,0,-
2015,Shawn Horcoff,DAL,C,76,124.3333333,4,1,0,1,5,11,36.36,24,21,18,12,0,1,5,1,0,1,0,0,1,1,1,7,2,32,26,55.17
