"","Team","Opponent","game_id","game_date","season","is_home","TOI","TOI_4v5","TOI_3v5","TOI_3v4","GF","GA","xGF","xGA","SF","SA","FF","FA","CF","CA","PEND2","PENT2","PEND5","PENT5"
"158","ANA","COL",2009020940,14671,20092010,1,5.78333333333333,5.78333333333333,0,0,0,3,0,0,0,5,1,7,1,8,1,0,0,0
"159","ANA","ARI",2009020961,14674,20092010,0,6.2,6.2,0,0,0,1,0,0,0,5,0,9,0,9,1,0,0,0
"160","ANA","MTL",2009020973,14675,20092010,1,6,6,0,0,0,0,0,0,0,14,0,17,0,19,0,0,0,0
"161","ANA","CBJ",2009020984,14677,20092010,1,4.68333333333333,4.38333333333333,0,0.3,0,3,0,0,0,8,1,9,2,11,2,0,0,0
"162","ANA","NSH",2009021005,14680,20092010,1,3.21666666666667,2.91666666666667,0.2,0.1,0,1,0,0,1,2,1,2,1,2,2,0,0,0
"163","ANA","S.J",2009021023,14682,20092010,1,6.11666666666667,6.11666666666667,0,0,0,0,0,0,0,5,0,10,0,14,1,0,0,0
"164","ANA","CHI",2009021041,14685,20092010,1,6,6,0,0,1,0,0,0,1,4,1,4,1,10,0,0,0,0
"165","ANA","NYI",2009021056,14687,20092010,1,2.6,2.6,0,0,0,2,0,0,0,3,0,4,0,5,0,0,0,0
"166","ANA","COL",2009021076,14689,20092010,1,6,6,0,0,1,0,0,0,1,6,1,7,1,7,0,0,0,0
"167","ANA","CGY",2009021088,14691,20092010,0,2.11666666666667,2.11666666666667,0,0,0,1,0,0,0,2,0,2,1,2,0,0,0,0
"168","ANA","VAN",2009021095,14692,20092010,0,3.86666666666667,3.86666666666667,0,0,0,1,0,0,0,3,0,6,0,6,0,0,0,0
"169","ANA","EDM",2009021109,14694,20092010,0,9.25,9.25,0,0,0,0,0,0,3,6,3,10,3,15,1,0,0,0
"170","ANA","DAL",2009021132,14697,20092010,1,4,4,0,0,0,0,0,0,0,4,0,6,0,8,0,0,0,0
"171","ANA","COL",2009021147,14699,20092010,0,4.41666666666667,4.41666666666667,0,0,0,1,0,0,0,3,0,5,1,6,0,0,0,0
"172","ANA","VAN",2009021163,14701,20092010,1,7.95,6,0,1.95,0,0,0,0,0,8,0,11,1,13,0,1,0,0
"173","ANA","L.A",2009021174,14702,20092010,0,7.65,7.65,0,0,0,1,0,0,0,6,0,9,1,9,0,0,0,0
"174","ANA","L.A",2009021192,14705,20092010,1,5.83333333333333,5.83333333333333,0,0,0,1,0,0,1,5,2,6,2,10,0,0,0,0
"175","ANA","DAL",2009021203,14707,20092010,0,5.63333333333333,4,0,1.63333333333333,0,0,0,0,0,11,0,14,1,18,0,0,0,0
