,,,,,rule
2/23/16,NICHUSHKIN,VALERI,1.537159921,VALERI NICHUSHKIN,1
2/23/16,GUDAS,RADKO,1.533042551,RADKO GUDAS,1
2/23/16,ARMIA,JOEL,1.522146965,JOEL ARMIA,1
2/23/16,KARLSSON,WILLIAM,1.520619975,WILLIAM KARLSSON,1
2/23/16,HELM,DARREN,1.520125881,DARREN HELM,1
2/23/16,BROWN,J.T.,1.513446451,J.T. BROWN,1
2/23/16,HAULA,ERIK,1.513296209,ERIK HAULA,1
2/23/16,MARTINOOK,JORDAN,1.510784592,JORDAN MARTINOOK,1
2/23/16,WINNIK,DANIEL,1.50871588,DANIEL WINNIK,1
2/23/16,CARLE,MATTHEW,1.496452107,MATTHEW CARLE,1
2/23/16,NESTEROV,NIKITA,1.489951232,NIKITA NESTEROV,1
2/23/16,MICHALEK,ZBYNEK,1.487031667,ZBYNEK MICHALEK,1
2/23/16,COBURN,BRAYDON,1.48392784,BRAYDON COBURN,1
2/23/16,COUSINS,NICK,1.483911045,NICK COUSINS,1
2/23/16,KALININ,SERGEY,1.483013604,SERGEY KALININ,1
2/23/16,STALBERG,VIKTOR,1.480469001,VIKTOR STALBERG,1
2/23/16,KULEMIN,NIKOLAY,1.474322363,NIKOLAY KULEMIN,1
2/23/16,NASH,RILEY,1.467253488,RILEY NASH,1
2/23/16,FAYNE,MARK,1.466554607,MARK FAYNE,1
2/23/16,CALVERT,MATT,1.459873236,MATT CALVERT,1
2/23/16,TIKHONOV,VIKTOR,1.452496723,VIKTOR TIKHONOV,1
2/23/16,LARSSON,ADAM,1.431650427,ADAM LARSSON,1
2/23/16,GREENE,ANDY,1.427318708,ANDY GREENE,1
2/23/16,WHITE,RYAN,1.409945538,RYAN WHITE,1
2/23/16,MERRILL,JON,1.399201427,JON MERRILL,1
2/23/16,DAHLBECK,KLAS,1.39885056,KLAS DAHLBECK,1
2/23/16,LAZAR,CURTIS,1.394914716,CURTIS LAZAR,1
2/23/16,CIZIKAS,CASEY,1.39451167,CASEY CIZIKAS,1
2/23/16,NORDSTROM,JOAKIM,1.382916794,JOAKIM NORDSTROM,1
2/23/16,BERNIER,STEVE,1.374296917,STEVE BERNIER,1
2/23/16,GLENDENING,LUKE,1.371024236,LUKE GLENDENING,1
2/23/16,KORPIKOSKI,LAURI,1.368396009,LAURI KORPIKOSKI,1
2/23/16,FONTAINE,JUSTIN,1.354409842,JUSTIN FONTAINE,1
2/23/16,MARTIN,MATT,1.352519036,MATT MARTIN,1
2/23/16,RUUTU,TUOMO,1.349184133,TUOMO RUUTU,1
2/23/16,CHIASSON,ALEX,1.347610594,ALEX CHIASSON,1
2/23/16,CHIAROT,BEN,1.345841072,BEN CHIAROT,1
2/23/16,PAQUETTE,CEDRIC,1.343915282,CEDRIC PAQUETTE,1
2/23/16,CARTER,RYAN,1.33870751,RYAN CARTER,1
2/23/16,FROESE,BYRON,1.332343044,BYRON FROESE,1
2/23/16,LOWRY,ADAM,1.328433859,ADAM LOWRY,1
2/23/16,HENDRICKS,MATT,1.319184091,MATT HENDRICKS,1
2/23/16,BELLEMARE,PIERRE-EDOUARD,1.310741294,PIERRE-EDOUARD BELLEMARE,1
2/23/16,VANDEVELDE,CHRIS,1.3042875,CHRIS VANDEVELDE,1
2/23/16,CLUTTERBUCK,CAL,1.29428541,CAL CLUTTERBUCK,1
2/23/16,TOOTOO,JORDIN,1.294263817,JORDIN TOOTOO,1
2/23/16,MCCLEMENT,JAY,1.293867626,JAY MCCLEMENT,1
2/23/16,CHIPCHURA,KYLE,1.285316136,KYLE CHIPCHURA,1
2/23/16,MCILRATH,DYLAN,1.2823523,DYLAN MCILRATH,1
2/23/16,SCEVIOUR,COLTON,1.281474694,COLTON SCEVIOUR,1
2/23/16,STOLL,JARRET,1.27501828,JARRET STOLL,1
2/23/16,BOURQUE,RENE,1.273437159,RENE BOURQUE,1
2/23/16,FIDDLER,VERNON,1.271895277,VERNON FIDDLER,1
2/23/16,GIONTA,STEPHEN,1.266899368,STEPHEN GIONTA,1
2/23/16,FAKSA,RADEK,1.266252184,RADEK FAKSA,1
2/23/16,RYCHEL,KERBY,1.257666342,KERBY RYCHEL,1
2/23/16,BURMISTROV,ALEXANDER,1.244281522,ALEXANDER BURMISTROV,1
2/23/16,TERRY,CHRIS,1.239187038,CHRIS TERRY,1
