"","Team","Opponent","game_id","game_date","season","is_home","TOI","TOI_5v4","TOI_5v3","TOI_4v3","GF","GA","xGF","xGA","SF","SA","FF","FA","CF","CA","PEND2","PENT2","PEND5","PENT5"
"109","ANA","NSH",2009020217,14553,20092010,1,8.06666666666667,7.7,0.366666666666667,0,1,0,0,0,11,0,13,0,15,1,1,0,0,0
"110","ANA","ARI",2009020236,14555,20092010,1,11.0333333333333,11.0333333333333,0,0,1,0,0,0,12,3,15,3,18,3,0,0,0,0
"111","ANA","N.J",2009020248,14559,20092010,0,10.5833333333333,10.5833333333333,0,0,0,1,0,0,8,3,9,3,10,3,0,0,0,0
"112","ANA","CBJ",2009020264,14561,20092010,0,9.48333333333333,8,0,1.48333333333333,0,0,0,0,7,0,12,1,14,1,0,1,0,0
"113","ANA","DET",2009020273,14562,20092010,0,5.53333333333333,4.45,1.08333333333333,0,2,0,0,0,5,0,6,2,8,2,1,0,0,0
"114","ANA","PIT",2009020286,14564,20092010,0,6,6,0,0,0,1,0,0,8,1,8,1,10,1,0,1,0,0
"115","ANA","T.B",2009020306,14567,20092010,1,7.65,6.96666666666667,0,0.683333333333333,3,0,0,0,7,0,8,0,13,0,0,0,0,0
"116","ANA","S.J",2009020325,14569,20092010,1,6.03333333333333,5.88333333333333,0.15,0,2,0,0,0,4,3,7,3,8,4,1,0,0,0
"117","ANA","CGY",2009020337,14571,20092010,1,4.3,3.55,0.75,0,0,0,0,0,8,0,12,0,12,0,1,0,0,0
"118","ANA","CAR",2009020351,14573,20092010,1,2.56666666666667,2.56666666666667,0,0,1,0,0,0,1,1,2,1,2,1,0,0,0,0
"119","ANA","CHI",2009020359,14575,20092010,1,8.1,8.1,0,0,3,0,0,0,8,1,10,3,12,3,0,0,0,0
"120","ANA","ARI",2009020380,14577,20092010,1,4.35,4.35,0,0,1,0,0,0,5,0,6,0,8,0,0,0,0,0
"121","ANA","L.A",2009020392,14579,20092010,1,4.05,3.81666666666667,0.233333333333333,0,1,0,0,0,3,0,4,0,6,0,1,0,0,0
"122","ANA","DAL",2009020405,14581,20092010,0,5,5,0,0,0,0,0,0,3,2,5,2,5,2,0,0,0,0
"123","ANA","MIN",2009020411,14582,20092010,0,4.06666666666667,2.06666666666667,0,2,1,0,0,0,6,0,6,0,8,1,0,1,0,0
"124","ANA","OTT",2009020428,14584,20092010,1,4.56666666666667,4.03333333333333,0.533333333333333,0,0,0,0,0,2,0,4,0,7,0,1,1,0,0
"125","ANA","DAL",2009020441,14586,20092010,1,1.35,1.35,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0
"126","ANA","DET",2009020461,14589,20092010,0,5.3,5.3,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0
"127","ANA","CBJ",2009020472,14590,20092010,0,2.85,2.85,0,0,1,0,0,0,3,0,3,0,3,0,0,0,0,0
"128","ANA","VAN",2009020501,14594,20092010,0,6.05,6.05,0,0,1,0,0,0,6,1,7,1,8,1,0,1,0,0
"129","ANA","S.J",2009020510,14595,20092010,0,4.21666666666667,4.21666666666667,0,0,1,0,0,0,2,1,2,1,3,2,0,2,0,0
"130","ANA","ARI",2009020519,14597,20092010,1,11.15,11.15,0,0,2,0,0,0,15,3,20,4,21,6,0,0,0,0
"131","ANA","COL",2009020543,14600,20092010,0,6,6,0,0,0,0,0,0,6,0,10,0,12,0,0,0,0,0
"132","ANA","ARI",2009020555,14601,20092010,0,8,8,0,0,0,0,0,0,3,2,5,3,8,3,0,0,0,0
"133","ANA","S.J",2009020569,14604,20092010,0,8,8,0,0,0,0,0,0,7,0,14,0,18,0,0,0,0,0
"134","ANA","MIN",2009020589,14607,20092010,1,4.05,2.81666666666667,1.23333333333333,0,1,0,0,0,3,0,4,0,4,0,1,0,0,0
"135","ANA","DAL",2009020606,14609,20092010,0,4,4,0,0,0,1,0,0,0,2,4,2,5,2,0,0,0,0
"136","ANA","NSH",2009020619,14611,20092010,0,4,4,0,0,0,0,0,0,4,0,4,0,6,0,0,0,0,0
"137","ANA","CHI",2009020626,14612,20092010,0,4,4,0,0,0,0,0,0,4,1,5,1,6,1,0,0,0,0
"138","ANA","DET",2009020638,14614,20092010,1,7.73333333333333,7.73333333333333,0,0,0,0,0,0,8,4,10,4,12,4,0,1,0,0
"139","ANA","STL",2009020653,14616,20092010,1,6.73333333333333,5.46666666666667,1.26666666666667,0,0,1,0,0,6,2,8,2,12,2,1,0,0,0
"140","ANA","NSH",2009020667,14618,20092010,0,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"141","ANA","CHI",2009020675,14619,20092010,0,4.43333333333333,4.43333333333333,0,0,1,0,0,0,3,1,4,1,6,1,0,0,0,0
"142","ANA","BOS",2009020692,14622,20092010,1,7.8,7.8,0,0,1,0,0,0,3,2,5,4,7,5,0,0,0,0
"143","ANA","L.A",2009020703,14623,20092010,0,6.98333333333333,5.85,0.783333333333333,0.35,0,0,0,0,3,4,7,4,9,4,0,1,0,0
